taxa,date,full_location,jurisdiction,country,outbreak,region
CHIKV|FJ445428|LKRGCH1507|Sri_Lanka|2007-05,2007-05,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ445427|LKMTCH2707|Sri_Lanka|2007-07,2007-07,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|FJ445426|LKEHCH13908|Sri_Lanka|2008-04,2008-04,Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|EU037962|Wuerzburg|Mauritius|2006,2006,Mauritius,Mauritius,Mauritius,Other,Indian_Ocean_islands
CHIKV|AB455494|SL10571|Japan_imported_SriLanka|2006,2006,Japan_import|Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|AB455493|SL11131|Japan_imported_SriLanka|2006,2006,Japan_import|Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|MF774619|Pakistan-10_2016|Pakistan|2016,2016,Pakistan,Pakistan,Pakistan,Other,Middle_East
CHIKV|MF774618|Pakistan-09_2016|Pakistan|2016,2016,Pakistan,Pakistan,Pakistan,Other,Middle_East
CHIKV|MF774617|Pakistan-07_2016|Pakistan|2016,2016,Pakistan,Pakistan,Pakistan,Other,Middle_East
CHIKV|MF774616|Pakistan-06_2016|Pakistan|2016,2016,Pakistan,Pakistan,Pakistan,Other,Middle_East
CHIKV|MF774615|Pakistan-05_2016|Pakistan|2016,2016,Pakistan,Pakistan,Pakistan,Other,Middle_East
CHIKV|MF774614|Pakistan-04_2016|Pakistan|2016,2016,Pakistan,Pakistan,Pakistan,Other,Middle_East
CHIKV|MF774613|Pakistan-01_2016|Pakistan|2016,2016,Pakistan,Pakistan,Pakistan,Other,Middle_East
CHIKV|MF773566|Bangladesh_2017|Bangladesh|2017,2017,Bangladesh,Bangladesh,Bangladesh,Other,Indian_subcontinent
CHIKV|KY751908|IN16C1|Australia_imported_from_India|2016,2016,Australia_import|India,India,India,Other,Indian_subcontinent
CHIKV|KY575571|CHIKV_Homo_sapiens_USA_La-Reunion_OYP1_2006|USA|2006,2006,USA_import|La_Reunion,La_Reunion,La_Reunion,Other,Indian_Ocean_islands
CHIKV|KY575570|CHIKV_Homo_sapiens_USA_2008_Sri-Lanka_2008|USA|2008,2008,USA_import|Sri_Lanka,Sri_Lanka,Sri_Lanka,Other,Indian_subcontinent
CHIKV|KY057363|119067|India|2016-08-28,2016-08-28,India,India,India,Other,Indian_subcontinent
CHIKV|KX881784|APCK406|India|2016,2016,India,India,India,Other,Indian_subcontinent
CHIKV|KX619424|JHCK96|India|2015-09-22,2015-09-22,India,India,India,Other,Indian_subcontinent
CHIKV|KX619423|HUBCK49|India|2014-07-23,2014-07-23,India,India,India,Other,Indian_subcontinent
CHIKV|KX619422|HUBCK18|India|2014-07-08,2014-07-08,India,India,India,Other,Indian_subcontinent
CHIKV|331|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|139|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|175|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|KF283987|S7|Comoros_Grande_Island|2005,2005,Grande_Island|Comoros,Comoros,Comoros,Other,Indian_Ocean_islands
CHIKV|315|Kassala_Sudan|2018,2018,Kassala|Sudan,Sudan,Kassala,Kassala,Kassala
CHIKV|173|Kassala_Sudan|2018,2018,Kassala|Sudan|,Sudan,Kassala,Kassala,Kassala
