state,joint,prior,likelihood,treeModel.rootHeight,age(root),treeLength,tmrca(Kassala_outbreak),age(Kassala_outbreak),constant.popSize,kappa,frequencies1,frequencies2,frequencies3,frequencies4,alpha,ucld.mean,ucld.stdev,meanRate,coefficientOfVariation,covariance,treeLikelihood,branchRates,coalescent
0,-69115.27828474366,-2919.9042246579215,-66195.37406008574,15.822486719358464,2002.1775132806415,67.61481815327542,2.044505851428074,2015.955494148572,1.0,2.0,0.2500000001,0.2499999999,0.2500000001,0.2499999999,0.5,1.0,0.3333333333333333,1.0159278375096652,0.31780191163378047,0.04519352777005287,-66195.37406008574,-2621.559854121456,-231.98225992605722
10000,-30034.28058820349,-3056.1974167046633,-26978.083171498827,14.681262545369526,2003.3187374546305,110.92929756841997,1.5007040949808683,2016.4992959050192,2.948559366618827,13.124879496471307,0.28068719081139115,0.25519448004062945,0.24788322353410325,0.21623510561387613,0.0404617561932747,0.012294858390788501,0.08732544146343225,0.0014192814527453103,3.231875017561507,0.016159684697550275,-26978.083171498827,-2621.559854121456,-434.9044761236196
20000,-29076.43924384052,-3031.638182908371,-26044.801060932146,13.950453103551155,2004.0495468964489,102.0529040546022,1.3584807977515803,2016.6415192022484,2.1183281239007843,10.938144360917528,0.2933612450575353,0.25787490032660904,0.2430805444486196,0.2056833101672359,0.020870599066225917,0.008795026070957153,0.04928942405677646,0.001309990710900625,2.8137416397180477,0.002452659986295499,-26044.801060932146,-2621.559854121456,-411.7765993860349
30000,-28847.99748594798,-3030.5983026028407,-25817.39918334514,14.073916878010596,2003.9260831219894,101.526944040513,0.8031026392637344,2017.1968973607363,2.2958108551157133,13.154197207557024,0.28477625447543997,0.25913517123747204,0.24074413551565046,0.21534443877143758,0.03158415593797845,0.00909215907134131,0.061392114730402465,0.0012327524118946945,3.0449901450683594,-0.015705828619418282,-25817.39918334514,-2621.559854121456,-410.1940273949849
40000,-28458.399369533046,-3020.532630546316,-25437.86673898673,13.827757828882886,2004.1722421711172,98.69700928025622,1.3088011974102463,2016.6911988025897,2.505339459626521,12.723363298555155,0.2859405264898588,0.2588769333880879,0.24848602777842582,0.20669651234362751,0.03834125381969188,0.007335981760801089,0.04251712760834945,0.0011670059181707385,2.765169755813937,0.04990818992019448,-25437.86673898673,-2621.559854121456,-400.4429139669342
50000,-28375.293774530168,-3024.9915464883807,-25350.302228041786,13.85189789800547,2004.1481021019945,101.33816334911027,1.5402726260894013,2016.4597273739107,2.4495889352390114,11.98212931679667,0.28082524193267866,0.25797975773853105,0.24347053024108725,0.21772447008770315,0.021110378469429845,0.0057501364917008175,0.025109770346565183,0.0011817910030566055,2.40747308738484,0.020287890067745104,-25350.302228041786,-2621.559854121456,-405.40549910582996
60000,-28190.527782216115,-3004.2526052464186,-25186.275176969695,14.284253753200417,2003.7157462467997,96.49521674410747,1.096884929276402,2016.9031150707235,2.417471754245461,12.313492477145212,0.2862109593009162,0.25762775184534337,0.2410306357742243,0.2151306530795164,0.019698006698390988,0.00523086460519858,0.023662796246042683,0.0011516589951115369,1.8898544802841781,-0.01857691961304463,-25186.275176969695,-2621.559854121456,-384.73429902117135
70000,-28025.961081234665,-2986.0399012162384,-25039.921180018428,15.014453800834321,2002.9855461991656,91.39284282561445,1.0321962554982738,2016.9678037445017,2.0973030894360716,11.697004789591949,0.2856747557426234,0.2558973615503637,0.25263812338631225,0.20578975932070093,0.028721472576334426,0.0044650452804351265,0.015418055964743885,0.0012219047436295189,1.8227469581017528,-0.048880589900529306,-25039.921180018428,-2621.559854121456,-366.9191964549445
80000,-27985.66984974031,-2996.4886212541933,-24989.181228486115,14.644620288763338,2003.3553797112368,91.99476066920037,1.0175398156160247,2016.982460184384,2.0734143039491406,9.283679938413952,0.2822962054808271,0.2578155246760707,0.24400896148938844,0.21587930835371405,0.010654197438455209,0.00460597544077424,0.017462017160028934,0.0012390494661507956,1.8607876197707887,0.017908240725183638,-24989.181228486115,-2621.559854121456,-377.8112728439774
90000,-27993.5264692694,-3026.505926083005,-24967.020543186394,14.179045934444058,2003.820954065556,96.2824996785838,1.0174735325449509,2016.982526467455,2.518571704276672,10.870715283519935,0.27761298287485914,0.2582339264000409,0.2567800745026099,0.20737301622249033,0.04036801436880812,0.004010539882670268,0.014579984097580835,0.0011196439810883438,1.7885278579675625,-0.058564130087780296,-24967.020543186394,-2621.559854121456,-407.4230335870739
