state,joint,prior,likelihood,treeModel.rootHeight,age(root),treeLength,tmrca(Kassala_2018),tmrca(Kassala_2019),age(Kassala_2018),age(Kassala_2019),constant.popSize,kappa,frequencies1,frequencies2,frequencies3,frequencies4,alpha,ucld.mean,ucld.stdev,meanRate,coefficientOfVariation,covariance,treeLikelihood,branchRates,coalescent
0,-69960.02506168869,-3003.6027350102386,-66956.42232667845,18.623768466159355,2001.3296561913749,68.36755812086301,3.4251192077820107,2.008680770176519,2016.5283054497522,2017.9447438873576,1.0,2.0,0.2500000001,0.2499999999,0.2500000001,0.2499999999,0.5,1.0,0.3333333333333333,1.0109614676427119,0.3281947441659001,-0.03817006724956712,-66956.42232667845,-2720.7422526009486,-215.7511674578722
10000,-31762.855666005267,-3111.456287316493,-28651.399378688773,16.007342434633962,2003.9460822229003,98.48972724249434,3.2073666994605383,2.720777653804045,2016.7460579580736,2017.23264700373,2.1992155947872,12.203982535599815,0.28909109856306336,0.26025152454836215,0.2437923069723385,0.20686506991623616,0.045901430693495573,0.013947948878433937,0.07805349457173237,0.002089050324772958,2.460530489472084,0.03237211080167745,-28651.399378688773,-2720.7422526009486,-391.3030452129306
20000,-30417.07224739699,-3098.0971209845407,-27318.97512641245,16.792103229180054,2003.161321428354,96.32960953494718,3.6449262609166517,2.2966851223905693,2016.3084983966176,2017.6567395351437,2.1715623081517244,14.123156313984625,0.28156606270651596,0.25562592160887126,0.24767536247776598,0.21513265320684707,0.045341399191033416,0.010413695890473381,0.056920417566649506,0.0017843574151440275,2.5295470885689486,0.004542361265154234,-27318.97512641245,-2720.7422526009486,-378.23339601106204
30000,-29662.955106964593,-3093.64632203223,-26569.308784932364,17.459391897193782,2002.4940327603404,100.17168689774687,3.753518960113986,2.2429966930736662,2016.1999056974203,2017.7104279644607,1.8013817334467808,15.418814782670452,0.27953943920128266,0.2628240167373979,0.24162025001106818,0.21601629405025155,0.004079408939368284,0.0073348288154473276,0.03684758433074712,0.0013832112927735082,2.177307489816792,0.14748305054381805,-26569.308784932364,-2720.7422526009486,-374.3926329028762
40000,-29414.352929319026,-3097.167199812888,-26317.185729506138,17.249853473050102,2002.7035711844842,99.49914087325566,3.7232811196014897,2.2835906023764467,2016.2301435379327,2017.6698340551577,2.20859552023989,12.733062752566616,0.29188468052988176,0.25382278925485857,0.24426726311150138,0.21002526710375855,0.039866634490160924,0.0057020996154048325,0.02442995769742744,0.0013360419848139774,2.108460685958733,-0.017900020578160297,-26317.185729506138,-2720.7422526009486,-378.35755898428977
50000,-29304.454424926702,-3100.612411513033,-26203.84201341367,19.4840544141811,2000.469370243353,103.74700753384296,3.707054609875368,2.0705886432903373,2016.246370047659,2017.8828360142438,2.1680382159780356,12.74243557369408,0.2746503279317341,0.26562691262318006,0.24500424895294587,0.21471851049213994,0.01463516863646313,0.005737336122889277,0.02368362228474667,0.0013265030784762456,2.006166641317601,0.0449735883487353,-26203.84201341367,-2720.7422526009486,-381.86248893321135
60000,-29189.28402838198,-3084.660833080053,-26104.623195301927,17.745693538762943,2002.2077311187713,97.83879892504582,3.834472190406702,2.007287676843433,2016.1189524671274,2017.9461369806909,1.8810312120557695,12.058071374277874,0.28316903430535595,0.2591062717261781,0.2486127375351418,0.2091119564333241,0.045667567823670804,0.005713496156561022,0.02632754962401053,0.0013701504244506245,2.082726593592187,0.13113601579273482,-26104.623195301927,-2720.7422526009486,-366.1007226747091
70000,-29169.869023395542,-3097.203914678348,-26072.665108717196,18.729708835211373,2001.223715822323,101.59444477578798,3.8866479011097246,2.1995576564073436,2016.0667767564246,2017.753867001127,1.769313526671145,12.806336068113746,0.27579556350433115,0.25570002791659013,0.24822979910334117,0.2202746094757376,0.03291449811422694,0.005453243127882286,0.02677981734762824,0.001310587032072287,2.1052581077459305,0.0017438092329332853,-26072.665108717196,-2720.7422526009486,-378.65754092792434
80000,-28742.50018336756,-3075.3749753021416,-25667.12520806542,17.356607514198167,2002.596817143336,92.93122663456745,3.8480000082386274,3.8480000082386274,2016.1054246492956,2016.1054246492956,1.920592416174277,12.07172600222019,0.2825358359144436,0.2582073049155075,0.2455326296773743,0.2137242294926749,0.06245617879340991,0.004622104372783944,0.015895898108441622,0.0012738200465702606,1.867227992960165,0.0738747751395079,-25667.12520806542,-2720.7422526009486,-356.9992813912146
90000,-28666.420675890462,-3087.8708151364426,-25578.549860754018,16.696839658946494,2003.2565849985876,95.9450694904794,3.5208819562441245,3.5208819562441245,2016.4325427012902,2016.4325427012902,1.8556625199012124,11.732101252228782,0.2821244010048085,0.25636211094424277,0.24914742080712313,0.2123660672438258,0.056355779680363906,0.004291970791420268,0.014658666285630602,0.0012848461146251166,1.9796290766223543,0.016554794425200466,-25578.549860754018,-2720.7422526009486,-369.67168568350365
100000,-28610.252897927006,-3093.7163681712536,-25516.536529755755,16.497231975703965,2003.4561926818303,94.68527452482078,3.5208819562441245,3.5208819562441245,2016.4325427012902,2016.4325427012902,1.7072966412083572,11.591404326345884,0.28715823846917565,0.25465405980079237,0.24625363099090114,0.21193407073913106,0.026468900224450434,0.003791807533730216,0.011589606419315493,0.001247175687101946,1.6948269429374259,-0.031632250152250636,-25516.536529755755,-2720.7422526009486,-375.8009681267225
110000,-28564.814655365775,-3102.0406932852943,-25462.773962080482,15.868756174294436,2004.0846684832397,96.9908658822213,3.4493862013276613,3.4493862013276613,2016.5040384562067,2016.5040384562067,1.8016448690696256,11.502738582428778,0.27407311594178557,0.265361223283152,0.2516547230107776,0.208910937764285,0.028099854167749846,0.0034264621892371623,0.010378140982315303,0.0011375776567891412,1.68723825017658,-0.07635708551309371,-25462.773962080482,-2720.7422526009486,-384.1760430081238
120000,-28513.002355276454,-3094.0417721106965,-25418.960583165757,15.843947830593365,2004.1094768269409,94.85892849872275,3.331446371557947,2.533447337883258,2016.6219782859762,2017.419977319651,2.2053908377103446,14.378363641077803,0.2824023638386837,0.26171483134742113,0.24812643354194772,0.2077563712719477,0.027806272812496795,0.002965713072712311,0.008229757955237903,0.0011489086573680278,1.5021976920235,-0.062036846234294514,-25418.960583165757,-2720.7422526009486,-375.6489659928833
130000,-28471.598850296246,-3077.506616837133,-25394.092233459112,15.88819939907579,2004.0652252584584,93.84703781178457,3.1693287018305556,2.1740728134401723,2016.7840959557036,2017.779351844094,1.8273709200584765,12.23591917955217,0.2818900535979765,0.26462699386791666,0.2445301564061385,0.2089527961279686,0.062039520760585075,0.0034263020259807687,0.010666425998560197,0.0012477052595690015,1.6267257348728577,-0.0049670661971800405,-25394.092233459112,-2720.7422526009486,-359.43331847981267
